year,ac_no,ac_name,ac_type,cand_sex,partyname,totvotpoll,electors
2005.1,5,Sikta,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),5997,185625
2005.1,5,Sikta,GEN,M,Bharatiya Janata Party,24201,185625
2005.1,5,Sikta,GEN,M,Samajwadi Party,28212,185625
2005.1,5,Sikta,GEN,M,Indian National Congress,35811,185625
2005.1,6,Lauria,GEN,F,Independent,1576,188125
2005.1,6,Lauria,GEN,M,Independent,2479,188125
2005.1,6,Lauria,GEN,M,Lok Jan Shakti Party,3304,188125
2005.1,6,Lauria,GEN,M,Rashtriya Janata Dal,12290,188125
2005.1,6,Lauria,GEN,M,Samajwadi Party,24419,188125
2005.1,6,Lauria,GEN,M,Bahujan Samaj Party,26065,188125
2005.1,6,Lauria,GEN,M,Janata Dal (United),28089,188125
2005.1,7,Chanpatia,GEN,M,Independent,1150,189761
2005.1,7,Chanpatia,GEN,M,Independent,1621,189761
2005.1,7,Chanpatia,GEN,M,Communist Party of India,5667,189761
2005.1,7,Chanpatia,GEN,M,Samajwadi Party,6214,189761
2005.1,7,Chanpatia,GEN,M,Bahujan Samaj Party,9138,189761
2005.1,7,Chanpatia,GEN,M,Indian National Congress,22086,189761
2005.1,7,Chanpatia,GEN,M,Bharatiya Janata Party,42960,189761
2005.1,8,Bettiah,GEN,M,Independent,1639,250250
2005.1,8,Bettiah,GEN,M,Independent,1888,250250
2005.1,8,Bettiah,GEN,M,Samajwadi Party,3261,250250
2005.1,8,Bettiah,GEN,M,Lok Jan Shakti Party,6757,250250
2005.1,8,Bettiah,GEN,M,Bahujan Samaj Party,7824,250250
2005.1,8,Bettiah,GEN,M,Indian National Congress,38718,250250
2005.1,8,Bettiah,GEN,F,Bharatiya Janata Party,55184,250250
2005.1,9,Nautan,GEN,M,Indian Justice Party,819,195780
2005.1,9,Nautan,GEN,M,Samajwadi Party,1146,195780
2005.1,9,Nautan,GEN,M,Independent,1279,195780
2005.1,9,Nautan,GEN,M,Independent,1436,195780
2005.1,9,Nautan,GEN,M,Independent,2262,195780
2005.1,9,Nautan,GEN,M,Independent,3370,195780
2005.1,9,Nautan,GEN,M,Communist Party of India,4508,195780
2005.1,9,Nautan,GEN,M,Bahujan Samaj Party,14086,195780
2005.1,9,Nautan,GEN,M,Rashtriya Janata Dal,30194,195780
2005.1,9,Nautan,GEN,M,Janata Dal (United),35497,195780
2005.1,10,Raxaul,GEN,M,Independent,1188,202251
2005.1,10,Raxaul,GEN,F,Samajwadi Party,1816,202251
2005.1,10,Raxaul,GEN,M,Independent,2419,202251
2005.1,10,Raxaul,GEN,M,Indian National Congress,22947,202251
2005.1,10,Raxaul,GEN,M,Lok Jan Shakti Party,29999,202251
2005.1,10,Raxaul,GEN,M,Bharatiya Janata Party,38448,202251
2005.1,11,Sugauli,GEN,M,Independent,1435,219751
2005.1,11,Sugauli,GEN,M,Independent,2480,219751
2005.1,11,Sugauli,GEN,M,Bahujan Samaj Party,2511,219751
2005.1,11,Sugauli,GEN,M,Samajwadi Party,7305,219751
2005.1,11,Sugauli,GEN,M,Lok Jan Shakti Party,7460,219751
2005.1,11,Sugauli,GEN,M,Communist Party of India (Marxist),24356,219751
2005.1,11,Sugauli,GEN,M,Rashtriya Janata Dal,29264,219751
2005.1,11,Sugauli,GEN,M,Bharatiya Janata Party,35869,219751
2005.1,12,Motihari,GEN,M,Independent,514,249145
2005.1,12,Motihari,GEN,M,Samajwadi Party,692,249145
2005.1,12,Motihari,GEN,M,Independent,745,249145
2005.1,12,Motihari,GEN,M,Independent,888,249145
2005.1,12,Motihari,GEN,M,Indian Justice Party,1197,249145
2005.1,12,Motihari,GEN,M,Independent,1459,249145
2005.1,12,Motihari,GEN,M,Independent,1472,249145
2005.1,12,Motihari,GEN,M,Bahujan Samaj Party,1651,249145
2005.1,12,Motihari,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),2218,249145
2005.1,12,Motihari,GEN,M,Independent,3083,249145
2005.1,12,Motihari,GEN,M,Lok Jan Shakti Party,18393,249145
2005.1,12,Motihari,GEN,F,Rashtriya Janata Dal,35416,249145
2005.1,12,Motihari,GEN,M,Bharatiya Janata Party,56119,249145
2005.1,13,Adapur,GEN,M,Bahujan Samaj Party,926,211221
2005.1,13,Adapur,GEN,M,Samajwadi Party,1020,211221
2005.1,13,Adapur,GEN,M,Akhil Jan Vikas Dal,1604,211221
2005.1,13,Adapur,GEN,M,Independent,2026,211221
2005.1,13,Adapur,GEN,M,Independent,2205,211221
2005.1,13,Adapur,GEN,M,Independent,2848,211221
2005.1,13,Adapur,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),3901,211221
2005.1,13,Adapur,GEN,M,Rashtriya Janata Dal,22235,211221
2005.1,13,Adapur,GEN,M,Lok Jan Shakti Party,28706,211221
2005.1,13,Adapur,GEN,M,Janata Dal (United),44714,211221
2005.1,14,Dhaka,GEN,M,Muslim League Kerala State Committee,858,230980
2005.1,14,Dhaka,GEN,M,Independent,928,230980
2005.1,14,Dhaka,GEN,M,Independent,991,230980
2005.1,14,Dhaka,GEN,M,Bahujan Samaj Party,1534,230980
2005.1,14,Dhaka,GEN,M,Independent,1827,230980
2005.1,14,Dhaka,GEN,M,Independent,2666,230980
2005.1,14,Dhaka,GEN,M,Independent,3474,230980
2005.1,14,Dhaka,GEN,M,Samajwadi Party,7240,230980
2005.1,14,Dhaka,GEN,M,Rashtriya Janata Dal,17622,230980
2005.1,14,Dhaka,GEN,M,Lok Jan Shakti Party,28734,230980
2005.1,14,Dhaka,GEN,M,Bharatiya Janata Party,32066,230980
2005.1,15,Ghorasahan,GEN,M,Independent,1650,198424
2005.1,15,Ghorasahan,GEN,M,Independent,2662,198424
2005.1,15,Ghorasahan,GEN,M,Samajwadi Party,2832,198424
2005.1,15,Ghorasahan,GEN,M,Lok Jan Shakti Party,29050,198424
2005.1,15,Ghorasahan,GEN,M,Janata Dal (United),30137,198424
2005.1,15,Ghorasahan,GEN,M,Rashtriya Janata Dal,30951,198424
2005.1,16,Madhuban,GEN,M,Independent,952,209821
2005.1,16,Madhuban,GEN,M,Independent,1149,209821
2005.1,16,Madhuban,GEN,M,Independent,1243,209821
2005.1,16,Madhuban,GEN,M,Samajwadi Party,1373,209821
2005.1,16,Madhuban,GEN,M,Independent,2153,209821
2005.1,16,Madhuban,GEN,M,Independent,2612,209821
2005.1,16,Madhuban,GEN,M,Bahujan Samaj Party,2724,209821
2005.1,16,Madhuban,GEN,M,Independent,3819,209821
2005.1,16,Madhuban,GEN,M,Lok Jan Shakti Party,3959,209821
2005.1,16,Madhuban,GEN,M,Independent,4183,209821
2005.1,16,Madhuban,GEN,M,Rashtriya Janata Dal,28512,209821
2005.1,16,Madhuban,GEN,M,Janata Dal (United),47990,209821
2005.1,17,Pipra,SC,M,Independent,760,186797
2005.1,17,Pipra,SC,M,Samajwadi Party,1063,186797
2005.1,17,Pipra,SC,F,Bahujan Samaj Party,1640,186797
2005.1,17,Pipra,SC,F,Akhil Jan Vikas Dal,1986,186797
2005.1,17,Pipra,SC,M,Independent,2788,186797
2005.1,17,Pipra,SC,M,Lok Jan Shakti Party,4710,186797
2005.1,17,Pipra,SC,M,Rashtriya Janata Dal,32760,186797
2005.1,17,Pipra,SC,M,Bharatiya Janata Party,43239,186797
2005.1,18,Kesariya,GEN,M,Independent,746,204201
2005.1,18,Kesariya,GEN,M,Independent,930,204201
2005.1,18,Kesariya,GEN,M,Samajwadi Party,934,204201
2005.1,18,Kesariya,GEN,M,Independent,1611,204201
2005.1,18,Kesariya,GEN,M,Independent,1887,204201
2005.1,18,Kesariya,GEN,M,Independent,2105,204201
2005.1,18,Kesariya,GEN,M,Independent,3004,204201
2005.1,18,Kesariya,GEN,F,Bahujan Samaj Party,4200,204201
2005.1,18,Kesariya,GEN,M,Communist Party of India,4619,204201
2005.1,18,Kesariya,GEN,M,Lok Jan Shakti Party,7018,204201
2005.1,18,Kesariya,GEN,F,Janata Dal (United),30112,204201
2005.1,18,Kesariya,GEN,M,Rashtriya Janata Dal,31090,204201
2005.1,19,Harsidhi,GEN,M,Independent,2085,194962
2005.1,19,Harsidhi,GEN,M,Samajwadi Party,2673,194962
2005.1,19,Harsidhi,GEN,M,Bahujan Samaj Party,3091,194962
2005.1,19,Harsidhi,GEN,M,Independent,4141,194962
2005.1,19,Harsidhi,GEN,M,Indian National Congress,13261,194962
2005.1,19,Harsidhi,GEN,M,Janata Dal (United),35703,194962
2005.1,19,Harsidhi,GEN,M,Lok Jan Shakti Party,35811,194962
2005.1,20,Gobindganj,GEN,M,Bahujan Samaj Party,2883,207340
2005.1,20,Gobindganj,GEN,M,Rashtriya Janata Dal,15101,207340
2005.1,20,Gobindganj,GEN,M,Independent,15423,207340
2005.1,20,Gobindganj,GEN,M,Lok Jan Shakti Party,19722,207340
2005.1,20,Gobindganj,GEN,F,Janata Dal (United),35743,207340
2005.1,21,Kateya,GEN,M,Samajwadi Party,838,221084
2005.1,21,Kateya,GEN,M,Independent,970,221084
2005.1,21,Kateya,GEN,M,Independent,1156,221084
2005.1,21,Kateya,GEN,M,Independent,1224,221084
2005.1,21,Kateya,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),1304,221084
2005.1,21,Kateya,GEN,M,Independent,3287,221084
2005.1,21,Kateya,GEN,F,Lok Jan Shakti Party,5101,221084
2005.1,21,Kateya,GEN,M,Bharatiya Janata Party,17253,221084
2005.1,21,Kateya,GEN,F,Rashtriya Janata Dal,33821,221084
2005.1,21,Kateya,GEN,M,Bahujan Samaj Party,38024,221084
2005.1,22,Bhore,SC,M,Samajwadi Party,3554,221501
2005.1,22,Bhore,SC,M,Lok Jan Shakti Party,3838,221501
2005.1,22,Bhore,SC,M,Bahujan Samaj Party,8978,221501
2005.1,22,Bhore,SC,M,Communist Party of India (Marxist-Leninist) (Liberation),15382,221501
2005.1,22,Bhore,SC,M,Bharatiya Janata Party,27190,221501
2005.1,22,Bhore,SC,M,Rashtriya Janata Dal,33081,221501
2005.1,23,Mirganj,GEN,M,Independent,742,206936
2005.1,23,Mirganj,GEN,M,Independent,946,206936
2005.1,23,Mirganj,GEN,M,Independent,1120,206936
2005.1,23,Mirganj,GEN,M,Bharatiya Ekta Dal,1350,206936
2005.1,23,Mirganj,GEN,M,Samajwadi Party,1502,206936
2005.1,23,Mirganj,GEN,M,Gondvana Gantantra Party,1528,206936
2005.1,23,Mirganj,GEN,M,Independent,1772,206936
2005.1,23,Mirganj,GEN,M,Independent,3043,206936
2005.1,23,Mirganj,GEN,M,Lok Jan Shakti Party,3742,206936
2005.1,23,Mirganj,GEN,F,Independent,8462,206936
2005.1,23,Mirganj,GEN,M,Bahujan Samaj Party,13621,206936
2005.1,23,Mirganj,GEN,M,Indian National Congress,23135,206936
2005.1,23,Mirganj,GEN,M,Janata Dal (United),30748,206936
2005.1,24,Gopalganj,GEN,M,Akhil Bharat Hindu Mahasabha,1744,227549
2005.1,24,Gopalganj,GEN,F,Communist Party of India (Marxist-Leninist) (Liberation),2014,227549
2005.1,24,Gopalganj,GEN,M,Independent,2268,227549
2005.1,24,Gopalganj,GEN,M,Samajwadi Party,4095,227549
2005.1,24,Gopalganj,GEN,M,Lok Jan Shakti Party,4197,227549
2005.1,24,Gopalganj,GEN,M,Rashtriya Janata Dal,21894,227549
2005.1,24,Gopalganj,GEN,M,Bahujan Samaj Party,31271,227549
2005.1,24,Gopalganj,GEN,M,Bharatiya Janata Party,39205,227549
2005.1,25,Barauli,GEN,M,Independent,2025,198827
2005.1,25,Barauli,GEN,M,Independent,2494,198827
2005.1,25,Barauli,GEN,M,Samajwadi Party,3484,198827
2005.1,25,Barauli,GEN,M,Lok Jan Shakti Party,4085,198827
2005.1,25,Barauli,GEN,M,Bahujan Samaj Party,10042,198827
2005.1,25,Barauli,GEN,M,Rashtriya Janata Dal,37081,198827
2005.1,25,Barauli,GEN,M,Bharatiya Janata Party,38235,198827
2005.1,26,Baikunthpur,GEN,M,Bharatiya Ekta Dal,2289,220582
2005.1,26,Baikunthpur,GEN,M,Samajwadi Party,2465,220582
2005.1,26,Baikunthpur,GEN,M,Independent,2874,220582
2005.1,26,Baikunthpur,GEN,M,Lok Jan Shakti Party,4795,220582
2005.1,26,Baikunthpur,GEN,M,Bahujan Samaj Party,10188,220582
2005.1,26,Baikunthpur,GEN,M,Janata Dal (United),37634,220582
2005.1,26,Baikunthpur,GEN,M,Rashtriya Janata Dal,44291,220582
2005.1,27,Basantpur,GEN,M,All India Forward Bloc,759,202939
2005.1,27,Basantpur,GEN,M,Independent,986,202939
2005.1,27,Basantpur,GEN,F,Samajwadi Party,1045,202939
2005.1,27,Basantpur,GEN,M,Gondvana Gantantra Party,1242,202939
2005.1,27,Basantpur,GEN,M,Indian Justice Party,1375,202939
2005.1,27,Basantpur,GEN,M,Bahujan Samaj Party,2109,202939
2005.1,27,Basantpur,GEN,M,Independent,3789,202939
2005.1,27,Basantpur,GEN,M,Lok Jan Shakti Party,7806,202939
2005.1,27,Basantpur,GEN,M,Bharatiya Janata Party,33137,202939
2005.1,27,Basantpur,GEN,M,Rashtriya Janata Dal,47922,202939
2005.1,28,Goreakothi,GEN,M,Independent,493,179367
2005.1,28,Goreakothi,GEN,M,Independent,665,179367
2005.1,28,Goreakothi,GEN,M,Indian Justice Party,704,179367
2005.1,28,Goreakothi,GEN,M,Apna Dal,752,179367
2005.1,28,Goreakothi,GEN,M,Samajwadi Party,876,179367
2005.1,28,Goreakothi,GEN,M,Independent,980,179367
2005.1,28,Goreakothi,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),1451,179367
2005.1,28,Goreakothi,GEN,M,Independent,2808,179367
2005.1,28,Goreakothi,GEN,M,Bahujan Samaj Party,3681,179367
2005.1,28,Goreakothi,GEN,M,Communist Party of India,6348,179367
2005.1,28,Goreakothi,GEN,M,Bharatiya Janata Party,32953,179367
2005.1,28,Goreakothi,GEN,M,Rashtriya Janata Dal,36972,179367
2005.1,29,Siwan,GEN,M,Gondvana Gantantra Party,632,205998
2005.1,29,Siwan,GEN,M,Samajwadi Party,992,205998
2005.1,29,Siwan,GEN,M,Bharat Mangalam Parishad,1069,205998
2005.1,29,Siwan,GEN,M,Independent,1269,205998
2005.1,29,Siwan,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),1579,205998
2005.1,29,Siwan,GEN,M,Bahujan Samaj Party,2406,205998
2005.1,29,Siwan,GEN,M,Independent,2583,205998
2005.1,29,Siwan,GEN,M,Lok Jan Shakti Party,6696,205998
2005.1,29,Siwan,GEN,M,Rashtriya Janata Dal,39587,205998
2005.1,29,Siwan,GEN,M,Bharatiya Janata Party,42756,205998
2005.1,30,Mairwa,SC,M,Samajwadi Party,1358,180387
2005.1,30,Mairwa,SC,M,Bahujan Samaj Party,1903,180387
2005.1,30,Mairwa,SC,M,Gondvana Gantantra Party,2677,180387
2005.1,30,Mairwa,SC,M,Indian Justice Party,3284,180387
2005.1,30,Mairwa,SC,M,Lok Jan Shakti Party,3941,180387
2005.1,30,Mairwa,SC,M,Indian National Congress,14954,180387
2005.1,30,Mairwa,SC,M,Communist Party of India (Marxist-Leninist) (Liberation),29768,180387
2005.1,30,Mairwa,SC,M,Bharatiya Janata Party,30148,180387
2005.1,31,Darauli,GEN,M,Gondvana Gantantra Party,754,191204
2005.1,31,Darauli,GEN,M,Samajwadi Party,766,191204
2005.1,31,Darauli,GEN,M,Independent,852,191204
2005.1,31,Darauli,GEN,M,Indian Justice Party,958,191204
2005.1,31,Darauli,GEN,M,Independent,1115,191204
2005.1,31,Darauli,GEN,M,Samajwadi Janata Party(Rashtriya),1534,191204
2005.1,31,Darauli,GEN,M,Lok Jan Shakti Party,2325,191204
2005.1,31,Darauli,GEN,M,Bahujan Samaj Party,2612,191204
2005.1,31,Darauli,GEN,M,Independent,3269,191204
2005.1,31,Darauli,GEN,M,Independent,4719,191204
2005.1,31,Darauli,GEN,F,Bharatiya Janata Party,17559,191204
2005.1,31,Darauli,GEN,M,Rashtriya Janata Dal,26347,191204
2005.1,31,Darauli,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),30355,191204
2005.1,32,Ziradei,GEN,M,Samajwadi Party,790,171051
2005.1,32,Ziradei,GEN,M,Independent,1278,171051
2005.1,32,Ziradei,GEN,M,Independent,1363,171051
2005.1,32,Ziradei,GEN,M,Gondvana Gantantra Party,1529,171051
2005.1,32,Ziradei,GEN,M,Independent,1822,171051
2005.1,32,Ziradei,GEN,M,Independent,2693,171051
2005.1,32,Ziradei,GEN,M,Lok Jan Shakti Party,3029,171051
2005.1,32,Ziradei,GEN,M,Bahujan Samaj Party,3048,171051
2005.1,32,Ziradei,GEN,M,Rashtriya Janata Dal,27887,171051
2005.1,32,Ziradei,GEN,M,Janata Dal (United),42267,171051
2005.1,33,Maharajganj,GEN,M,Samajik Jantantrik Party,553,179414
2005.1,33,Maharajganj,GEN,M,Independent,562,179414
2005.1,33,Maharajganj,GEN,M,Samajwadi Party,831,179414
2005.1,33,Maharajganj,GEN,M,Independent,1894,179414
2005.1,33,Maharajganj,GEN,M,Independent,2266,179414
2005.1,33,Maharajganj,GEN,M,Lok Jan Shakti Party,2322,179414
2005.1,33,Maharajganj,GEN,M,Independent,3541,179414
2005.1,33,Maharajganj,GEN,M,Rashtriya Janata Dal,30833,179414
2005.1,33,Maharajganj,GEN,M,Janata Dal (United),43799,179414
2005.1,34,Raghunathpur,GEN,M,Rashtriya Lok Dal,1144,198043
2005.1,34,Raghunathpur,GEN,M,Independent,1176,198043
2005.1,34,Raghunathpur,GEN,M,Independent,1232,198043
2005.1,34,Raghunathpur,GEN,M,Independent,1757,198043
2005.1,34,Raghunathpur,GEN,M,Independent,3464,198043
2005.1,34,Raghunathpur,GEN,M,Lok Jan Shakti Party,3556,198043
2005.1,34,Raghunathpur,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),6986,198043
2005.1,34,Raghunathpur,GEN,M,Samajwadi Party,16095,198043
2005.1,34,Raghunathpur,GEN,M,Indian National Congress,19060,198043
2005.1,34,Raghunathpur,GEN,F,Janata Dal (United),39917,198043
2005.1,35,Manjhi,GEN,F,Independent,839,193201
2005.1,35,Manjhi,GEN,M,Independent,1262,193201
2005.1,35,Manjhi,GEN,M,Samajwadi Party,1945,193201
2005.1,35,Manjhi,GEN,M,Independent,2350,193201
2005.1,35,Manjhi,GEN,M,Independent,2757,193201
2005.1,35,Manjhi,GEN,M,Bahujan Samaj Party,2764,193201
2005.1,35,Manjhi,GEN,M,Lok Jan Shakti Party,3171,193201
2005.1,35,Manjhi,GEN,M,Indian National Congress,36622,193201
2005.1,35,Manjhi,GEN,M,Janata Dal (United),38002,193201
2005.1,36,Baniapur,GEN,M,Independent,1412,184247
2005.1,36,Baniapur,GEN,M,Independent,1501,184247
2005.1,36,Baniapur,GEN,M,Independent,1725,184247
2005.1,36,Baniapur,GEN,M,Independent,3231,184247
2005.1,36,Baniapur,GEN,M,Independent,3544,184247
2005.1,36,Baniapur,GEN,M,Bahujan Samaj Party,4150,184247
2005.1,36,Baniapur,GEN,M,Lok Jan Shakti Party,4943,184247
2005.1,36,Baniapur,GEN,F,Indian National Congress,29787,184247
2005.1,36,Baniapur,GEN,M,Janata Dal (United),32440,184247
2005.1,37,Masrakh,GEN,M,Samajwadi Party,624,186273
2005.1,37,Masrakh,GEN,M,Independent,714,186273
2005.1,37,Masrakh,GEN,M,Independent,804,186273
2005.1,37,Masrakh,GEN,M,Independent,1008,186273
2005.1,37,Masrakh,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),1294,186273
2005.1,37,Masrakh,GEN,M,Lok Jan Shakti Party,1497,186273
2005.1,37,Masrakh,GEN,M,Independent,1990,186273
2005.1,37,Masrakh,GEN,M,Bahujan Samaj Party,3269,186273
2005.1,37,Masrakh,GEN,M,Independent,3693,186273
2005.1,37,Masrakh,GEN,M,Independent,3955,186273
2005.1,37,Masrakh,GEN,M,Independent,5186,186273
2005.1,37,Masrakh,GEN,M,Indian National Congress,31572,186273
2005.1,37,Masrakh,GEN,M,Janata Dal (United),33694,186273
2005.1,38,Taraiya,GEN,M,Rashtriya Lok Dal,1011,183510
2005.1,38,Taraiya,GEN,M,Samata Party,1045,183510
2005.1,38,Taraiya,GEN,M,Samajwadi Party,1575,183510
2005.1,38,Taraiya,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),1640,183510
2005.1,38,Taraiya,GEN,M,Samajwadi Janata Party(Rashtriya),1804,183510
2005.1,38,Taraiya,GEN,M,Independent,2005,183510
2005.1,38,Taraiya,GEN,M,Lok Jan Shakti Party,9751,183510
2005.1,38,Taraiya,GEN,M,Bahujan Samaj Party,12314,183510
2005.1,38,Taraiya,GEN,M,Bharatiya Janata Party,22802,183510
2005.1,38,Taraiya,GEN,M,Rashtriya Janata Dal,29615,183510
2005.1,39,Marhaura,GEN,M,Akhil Bharat Hindu Mahasabha,837,181745
2005.1,39,Marhaura,GEN,M,Independent,911,181745
2005.1,39,Marhaura,GEN,M,Independent,1109,181745
2005.1,39,Marhaura,GEN,M,Independent,1251,181745
2005.1,39,Marhaura,GEN,M,Samajwadi Party,1369,181745
2005.1,39,Marhaura,GEN,M,Independent,1674,181745
2005.1,39,Marhaura,GEN,M,Communist Party of India,2760,181745
2005.1,39,Marhaura,GEN,M,Independent,4473,181745
2005.1,39,Marhaura,GEN,F,Bahujan Samaj Party,9581,181745
2005.1,39,Marhaura,GEN,M,Rashtriya Janata Dal,11831,181745
2005.1,39,Marhaura,GEN,M,Janata Dal (United),13129,181745
2005.1,39,Marhaura,GEN,M,Independent,35628,181745
2005.1,40,Jalalpur,GEN,M,Samajwadi Party,952,214184
2005.1,40,Jalalpur,GEN,F,Bahujan Samaj Party,1624,214184
2005.1,40,Jalalpur,GEN,M,Independent,1684,214184
2005.1,40,Jalalpur,GEN,M,Independent,3693,214184
2005.1,40,Jalalpur,GEN,M,Lok Jan Shakti Party,6286,214184
2005.1,40,Jalalpur,GEN,M,Rashtriya Janata Dal,33782,214184
2005.1,40,Jalalpur,GEN,M,Bharatiya Janata Party,45468,214184
2005.1,41,Chapra,GEN,M,Gondvana Gantantra Party,394,225881
2005.1,41,Chapra,GEN,M,Independent,452,225881
2005.1,41,Chapra,GEN,M,Independent,466,225881
2005.1,41,Chapra,GEN,M,Independent,521,225881
2005.1,41,Chapra,GEN,M,Samajwadi Party,573,225881
2005.1,41,Chapra,GEN,M,Independent,719,225881
2005.1,41,Chapra,GEN,M,Indian Justice Party,777,225881
2005.1,41,Chapra,GEN,M,Independent,1021,225881
2005.1,41,Chapra,GEN,M,Independent,1241,225881
2005.1,41,Chapra,GEN,M,Bahujan Samaj Party,2143,225881
2005.1,41,Chapra,GEN,M,Independent,2340,225881
2005.1,41,Chapra,GEN,M,Independent,6029,225881
2005.1,41,Chapra,GEN,M,Lok Jan Shakti Party,7771,225881
2005.1,41,Chapra,GEN,M,Rashtriya Janata Dal,36743,225881
2005.1,41,Chapra,GEN,M,Janata Dal (United),40371,225881
2005.1,42,Garkha,SC,M,Independent,799,182834
2005.1,42,Garkha,SC,M,Samajwadi Party,1046,182834
2005.1,42,Garkha,SC,M,Independent,2249,182834
2005.1,42,Garkha,SC,M,Independent,2737,182834
2005.1,42,Garkha,SC,M,Lok Jan Shakti Party,2857,182834
2005.1,42,Garkha,SC,M,Bahujan Samaj Party,3361,182834
2005.1,42,Garkha,SC,M,Independent,14271,182834
2005.1,42,Garkha,SC,M,Indian National Congress,26817,182834
2005.1,42,Garkha,SC,M,Bharatiya Janata Party,28634,182834
2005.1,43,Parsa,GEN,M,Bahujan Samaj Party,3892,203243
2005.1,43,Parsa,GEN,F,Independent,4500,203243
2005.1,43,Parsa,GEN,M,Lok Jan Shakti Party,5387,203243
2005.1,43,Parsa,GEN,M,Rashtriya Janata Dal,30911,203243
2005.1,43,Parsa,GEN,M,Janata Dal (United),41284,203243
2005.1,44,Sonepur,GEN,M,Independent,915,205012
2005.1,44,Sonepur,GEN,M,Independent,1115,205012
2005.1,44,Sonepur,GEN,M,Independent,1379,205012
